Gray Images
Image	Object	Volume_mm3	Min	Max	Mean	Std	
MNI.img	PosteriorWM_R	72327	123.0000	454.0000	354.7073	36.9259	
MNI.img	CorpusCallosum_L	14689	223.0000	467.0000	387.6016	25.7792	
MNI.img	CorpusCallosum_R	15604	189.0000	486.0000	393.7592	28.6518	
MNI.img	InferiorWM_L	58565	125.0000	453.0000	341.9514	39.7310	
MNI.img	InferiorWM_R	59367	129.0000	476.0000	360.6831	44.0099	
MNI.img	LimbicWM_L	14071	43.0000	467.0000	344.0190	44.4985	
MNI.img	LimbicWM_R	13778	68.0000	460.0000	347.3430	47.9577	
MNI.img	LateralVentricle_L	13484	14.0000	361.0000	109.9201	68.2855	
MNI.img	LateralVentricle_R	15267	10.0000	419.0000	101.4549	74.7128	
MNI.img	IIIandIV_Ventricle	7018	17.0000	368.0000	129.0663	70.8504	
MNI.img	FrontSul_L	22708	15.0000	210.0000	100.4390	35.3676	
MNI.img	FrontSul_R	18729	16.0000	216.0000	103.9497	36.3730	
MNI.img	CentralSul_L	3631	0.0000e+00	223.0000	92.6414	40.9556	
MNI.img	CentralSul_R	3626	0.0000e+00	229.0000	88.6961	44.0810	
MNI.img	SylvianFissureExt_L	11269	13.0000	244.0000	102.7628	37.3698	
MNI.img	SylvianFissureExt_R	11488	14.0000	235.0000	107.9277	43.0718	
MNI.img	ParietSul_L	13158	0.0000e+00	238.0000	95.8119	39.4117	
MNI.img	ParietSul_R	12353	12.0000	217.0000	95.8081	39.9260	
MNI.img	CinguSul_L	6278	17.0000	195.0000	109.7440	37.1006	
MNI.img	CinguSul_R	7097	15.0000	209.0000	107.8995	34.2088	
MNI.img	OcciptSul_L	4592	21.0000	228.0000	106.9397	33.6151	
MNI.img	OcciptSul_R	3791	0.0000e+00	217.0000	109.8288	34.4766	
MNI.img	TempSul_L	3811	0.0000e+00	183.0000	111.7415	27.0326	
MNI.img	TempSul_R	2587	25.0000	210.0000	113.5041	33.6176	



Type1-L4 Statistics

MNI.img	SFG_L	20618	65.0000	345.0000	201.8862	44.7683	
MNI.img	SFG_R	23164	75.0000	351.0000	204.5536	47.7108	
MNI.img	MFG_L	18186	67.0000	345.0000	201.2994	47.1923	
MNI.img	MFG_R	19445	54.0000	359.0000	202.3607	49.4737	
MNI.img	IFG_L	10299	57.0000	365.0000	201.9997	50.2227	
MNI.img	IFG_R	8791	62.0000	352.0000	207.5931	48.8124	
MNI.img	OG_L	8801	64.0000	349.0000	207.7613	48.8280	
MNI.img	OG_R	9602	0.0000e+00	389.0000	194.0370	50.5641	
MNI.img	RG_L	6175	68.0000	403.0000	195.0109	54.4477	
MNI.img	RG_R	6335	80.0000	349.0000	193.6826	51.4221	
MNI.img	PoCG_L	11041	65.0000	358.0000	211.9617	47.0977	
MNI.img	PoCG_R	9378	48.0000	394.0000	221.7456	48.5379	
MNI.img	PrCG_L	13599	62.0000	365.0000	206.4736	44.5738	
MNI.img	PrCG_R	14092	57.0000	372.0000	218.1148	46.4970	
MNI.img	SPG_L	6846	69.0000	357.0000	218.6475	52.5486	
MNI.img	SPG_R	4684	87.0000	361.0000	232.1159	51.1684	
MNI.img	SMG_L	6910	72.0000	346.0000	197.9425	47.4280	
MNI.img	SMG_R	6279	77.0000	363.0000	214.0916	48.9651	
MNI.img	AG_L	6781	60.0000	343.0000	196.2489	49.1659	
MNI.img	AG_R	9314	50.0000	369.0000	210.5380	51.5924	
MNI.img	PrCu_L	8084	54.0000	360.0000	197.9468	49.5394	
MNI.img	PrCu_R	8047	67.0000	373.0000	205.0389	48.0154	
MNI.img	STG_L	15080	47.0000	337.0000	189.3164	44.2064	
MNI.img	STG_R	15008	42.0000	372.0000	201.5350	46.8198	
MNI.img	MTG_L	12242	43.0000	344.0000	183.7333	48.2782	
MNI.img	MTG_R	12503	51.0000	375.0000	190.2200	47.7256	
MNI.img	ITG_L	9214	37.0000	324.0000	173.9623	48.6528	
MNI.img	ITG_R	10949	34.0000	352.0000	194.6646	50.1383	
MNI.img	Limbic_L	1778	85.0000	334.0000	209.0512	39.6013	
MNI.img	Limbic_R	2075	66.0000	381.0000	214.6627	47.7730	
MNI.img	FuG_L	16848	26.0000	360.0000	182.1682	49.4721	
MNI.img	FuG_R	17221	0.0000e+00	388.0000	198.1034	48.6146	
MNI.img	SOG_L	2577	82.0000	376.0000	211.9647	51.0505	
MNI.img	SOG_R	2466	55.0000	335.0000	211.4968	47.0876	
MNI.img	MOG_L	13149	41.0000	340.0000	187.2209	51.2955	
MNI.img	MOG_R	12932	46.0000	357.0000	201.5159	51.5477	
MNI.img	IOG_L	4039	53.0000	341.0000	184.7876	51.6622	
MNI.img	IOG_R	5314	45.0000	333.0000	198.3591	52.0770	
MNI.img	Cu_L	6036	56.0000	382.0000	200.8917	50.2179	
MNI.img	Cu_R	5668	53.0000	355.0000	206.0153	50.6108	
MNI.img	LG_L	10324	29.0000	357.0000	198.2479	52.1863	
MNI.img	LG_R	10874	34.0000	377.0000	207.2436	51.1645	
MNI.img	Cingulate_L	26824	36.0000	389.0000	200.1034	49.8230	
MNI.img	Cingulate_R	29025	35.0000	407.0000	195.0979	48.1637	
MNI.img	Insula_L	9669	64.0000	351.0000	193.5297	42.7371	
MNI.img	Insula_R	9378	51.0000	359.0000	200.6651	45.8044	
MNI.img	Amyg_L	1939	116.0000	334.0000	198.3419	28.3348	
MNI.img	Amyg_R	2044	136.0000	374.0000	204.6531	33.0588	
MNI.img	Hippo_L	4815	67.0000	376.0000	197.0696	44.2129	
MNI.img	Hippo_R	5137	72.0000	387.0000	212.4193	48.3003	
MNI.img	Caud_L	4239	146.0000	382.0000	255.6228	36.1376	
MNI.img	Caud_R	4399	155.0000	393.0000	251.2778	34.6785	
MNI.img	Put_L	6147	129.0000	388.0000	275.8764	30.7264	
MNI.img	Put_R	6500	103.0000	405.0000	285.1857	34.5991	
MNI.img	GP_L	1640	253.0000	406.0000	351.9628	21.4324	
MNI.img	GP_R	1593	244.0000	425.0000	358.0013	23.3941	
MNI.img	Thalamus_L	7279	190.0000	394.0000	309.1768	29.4341	
MNI.img	Thalamus_R	7320	156.0000	405.0000	306.5657	33.2105	
MNI.img	BasalForebrain_L	4181	59.0000	439.0000	287.9055	59.0286	
MNI.img	BasalForebrain_R	4286	63.0000	423.0000	282.1741	58.0584	
MNI.img	midbrain_L	6562	219.0000	467.0000	346.9695	36.4287	
MNI.img	midbrain_R	7002	172.0000	465.0000	348.3316	40.1456	
MNI.img	Cerebellum_R	56957	40.0000	375.0000	220.1641	44.1043	
MNI.img	Cerebellum_L	55658	36.0000	368.0000	206.8123	42.9795	
MNI.img	Pons_L	9145	174.0000	390.0000	317.5330	23.4224	
MNI.img	Pons_R	9881	143.0000	391.0000	319.3855	25.6025	
MNI.img	Medulla_L	2857	0.0000e+00	382.0000	285.1257	51.7000	
MNI.img	Medulla_R	2986	0.0000e+00	389.0000	291.5985	48.0862	
MNI.img	ant_DPWM_L	32513	300.0000	443.0000	373.5961	15.2687	
MNI.img	ant_DPWM_R	33005	215.0000	446.0000	380.8430	14.9031	
MNI.img	post_DPWM_L	7215	327.0000	418.0000	371.1867	11.6596	
MNI.img	post_DPWM_R	6180	330.0000	429.0000	388.9948	13.0166	
MNI.img	GCC_L	3413	268.0000	463.0000	398.0653	22.9445	
MNI.img	GCC_R	3789	238.0000	474.0000	401.8406	25.6140	
MNI.img	BCC_L	4109	249.0000	450.0000	380.2706	27.7953	
MNI.img	BCC_R	4494	189.0000	464.0000	381.4798	33.8117	
MNI.img	SCC_L	7167	223.0000	467.0000	386.8217	24.1837	
MNI.img	SCC_R	7321	238.0000	486.0000	397.1145	23.8910	
MNI.img	PVA_posterior_L	977	125.0000	409.0000	271.6336	56.4828	
MNI.img	PVA_posterior_R	1059	123.0000	426.0000	267.7044	59.9347	
MNI.img	ALIC_L	2332	276.0000	453.0000	376.6660	25.8578	
MNI.img	ALIC_R	2427	289.0000	464.0000	381.9295	27.5407	
MNI.img	PLIC_L	3817	303.0000	444.0000	367.3875	20.6495	
MNI.img	PLIC_R	3877	298.0000	438.0000	374.5293	17.5866	
MNI.img	inf_DPWM_L	22300	218.0000	447.0000	358.6396	33.5594	
MNI.img	inf_DPWM_R	20486	218.0000	476.0000	380.6091	41.8132	
MNI.img	CGC_L	4357	221.0000	432.0000	362.5088	32.5160	
MNI.img	CGC_R	4359	215.0000	434.0000	363.9179	33.2995	
MNI.img	CGH_L	1471	227.0000	418.0000	347.4018	32.0535	
MNI.img	CGH_R	1599	222.0000	435.0000	358.6817	38.2748	
MNI.img	Fx/ST_L	1454	182.0000	448.0000	348.6836	39.3597	
MNI.img	Fx/ST_R	1627	68.0000	460.0000	353.3516	51.0774	
MNI.img	Fx_L	967	43.0000	467.0000	281.3847	68.4356	
MNI.img	Fx_R	997	101.0000	412.0000	274.4614	58.3541	
MNI.img	PeripheralParietalWM_L	38285	195.0000	419.0000	337.4146	31.7777	
MNI.img	PeripheralParietalWM_R	38626	211.0000	448.0000	355.9348	33.3485	
MNI.img	AnteriorLateralVentricle_L	17021	14.0000	419.0000	100.2034	70.0655	
MNI.img	PosteriorLateralVentricle_L	2222	15.0000	338.0000	98.0635	70.6754	
MNI.img	InferiorLateralVentricle_L	1622	27.0000	341.0000	154.7010	55.5406	
MNI.img	AnteriorLateralVentricle_R	3612	10.0000	312.0000	90.8242	63.9037	
MNI.img	PosteriorLateralVentricle_R	2728	15.0000	398.0000	101.7775	79.8749	
MNI.img	InferiorLateralVentricle_R	1546	37.0000	382.0000	162.3448	64.6108	
MNI.img	IIIandIV_Ventricle	7018	17.0000	368.0000	129.0663	70.8504	
MNI.img	PVA_anterior_L	1276	128.0000	430.0000	313.3315	52.3498	
MNI.img	PVA_anterior_R	1122	114.0000	438.0000	301.4349	67.2052	
MNI.img	PeripheralFrontalWM_L	52902	190.0000	427.0000	334.5020	30.3658	
MNI.img	PeripheralFrontalWM_R	58259	177.0000	439.0000	341.1223	31.2356	
MNI.img	PeripheralTemporalWM_L	29769	149.0000	411.0000	324.2565	36.8174	
MNI.img	PeripheralTemporalWM_R	32288	178.0000	444.0000	345.6665	41.1619	
MNI.img	PeripheralOccipitalWM_L	27219	180.0000	412.0000	324.2978	36.2893	
MNI.img	PeripheralOccipitalWM_R	26751	192.0000	454.0000	347.4537	37.6413	
MNI.img	PeripheralCingulateWM_L	5822	195.0000	425.0000	338.5654	40.3055	
MNI.img	PeripheralCingulateWM_R	5196	195.0000	431.0000	342.0518	43.8034	
MNI.img	CerebellumWM_R	13280	213.0000	437.0000	339.7819	25.9657	
MNI.img	CerebellumWM_L	13049	210.0000	391.0000	323.9519	23.9555	
MNI.img	FrontSul_L	22708	15.0000	210.0000	100.4390	35.3676	
MNI.img	FrontSul_R	18729	16.0000	216.0000	103.9497	36.3730	
MNI.img	CentralSul_L	3631	0.0000e+00	223.0000	92.6414	40.9556	
MNI.img	CentralSul_R	3626	0.0000e+00	229.0000	88.6961	44.0810	
MNI.img	SylFrontSul_L	4799	13.0000	198.0000	100.9946	36.2703	
MNI.img	SylFrontSul_R	5258	14.0000	222.0000	107.4327	42.0306	
MNI.img	SylTempSul_L	5920	20.0000	244.0000	103.5372	38.6463	
MNI.img	SylTempSul_R	5642	15.0000	235.0000	109.3323	43.9888	
MNI.img	SylParieSul_L	550	26.0000	176.0000	109.8564	31.2180	
MNI.img	SylParieSul_R	588	17.0000	211.0000	98.8759	42.1716	
MNI.img	ParietSul_L	13158	0.0000e+00	238.0000	95.8119	39.4117	
MNI.img	ParietSul_R	12353	12.0000	217.0000	95.8081	39.9260	
MNI.img	CinguSul_L	6278	17.0000	195.0000	109.7440	37.1006	
MNI.img	CinguSul_R	7097	15.0000	209.0000	107.8995	34.2088	
MNI.img	OcciptSul_L	4592	21.0000	228.0000	106.9397	33.6151	
MNI.img	OcciptSul_R	3791	0.0000e+00	217.0000	109.8288	34.4766	
MNI.img	TempSul_L	3811	0.0000e+00	183.0000	111.7415	27.0326	
MNI.img	TempSul_R	2587	25.0000	210.0000	113.5041	33.6176	
MNI.img	Caudate_tail_L	484	133.0000	381.0000	244.8574	44.5382	
MNI.img	Caudate_tail_R	557	128.0000	431.0000	274.6427	50.8807	



Type1-L5 Statistics

MNI.img	SFG_L	10646	83.0000	345.0000	204.2732	43.6863	
MNI.img	SFG_R	9186	75.0000	351.0000	210.0879	44.9708	
MNI.img	SFG_PFC_L	8588	65.0000	324.0000	199.3175	46.0573	
MNI.img	SFG_PFC_R	10575	75.0000	342.0000	200.2822	48.1676	
MNI.img	SFG_pole_L	1384	94.0000	304.0000	199.4639	43.8551	
MNI.img	SFG_pole_R	3403	82.0000	342.0000	202.8883	51.8031	
MNI.img	MFG_L	9080	67.0000	345.0000	198.6140	46.0987	
MNI.img	MFG_R	8213	67.0000	359.0000	202.7632	45.1322	
MNI.img	MFG_DPFC_L	9106	78.0000	334.0000	203.9772	48.1090	
MNI.img	MFG_DPFC_R	11232	54.0000	349.0000	202.0663	52.4192	
MNI.img	IFG_opercularis_L	4015	71.0000	340.0000	195.7681	49.2156	
MNI.img	IFG_opercularis_R	3492	82.0000	351.0000	210.1518	46.4374	
MNI.img	IFG_orbitalis_L	3264	57.0000	365.0000	205.2972	51.6673	
MNI.img	IFG_orbitalis_R	2571	62.0000	337.0000	197.7367	50.7333	
MNI.img	IFG_triangularis_L	3020	60.0000	346.0000	206.7205	49.0989	
MNI.img	IFG_triangularis_R	2728	66.0000	352.0000	213.6070	48.5378	
MNI.img	LFOG_L	4165	81.0000	343.0000	205.1837	45.9590	
MNI.img	LFOG_R	4411	48.0000	348.0000	196.2804	45.3891	
MNI.img	MFOG_L	4636	64.0000	349.0000	210.0770	51.1581	
MNI.img	MFOG_R	5191	0.0000e+00	389.0000	192.1306	54.5047	
MNI.img	RG_L	6175	68.0000	403.0000	195.0109	54.4477	
MNI.img	RG_R	6335	80.0000	349.0000	193.6826	51.4221	
MNI.img	PoCG_L	11041	65.0000	358.0000	211.9617	47.0977	
MNI.img	PoCG_R	9378	48.0000	394.0000	221.7456	48.5379	
MNI.img	PrCG_L	13599	62.0000	365.0000	206.4736	44.5738	
MNI.img	PrCG_R	14092	57.0000	372.0000	218.1148	46.4970	
MNI.img	SPG_L	6846	69.0000	357.0000	218.6475	52.5486	
MNI.img	SPG_R	4684	87.0000	361.0000	232.1159	51.1684	
MNI.img	SMG_L	6910	72.0000	346.0000	197.9425	47.4280	
MNI.img	SMG_R	6279	77.0000	363.0000	214.0916	48.9651	
MNI.img	AG_L	6781	60.0000	343.0000	196.2489	49.1659	
MNI.img	AG_R	9314	50.0000	369.0000	210.5380	51.5924	
MNI.img	PrCu_L	8084	54.0000	360.0000	197.9468	49.5394	
MNI.img	PrCu_R	8047	67.0000	373.0000	205.0389	48.0154	
MNI.img	STG_L	11308	47.0000	337.0000	196.7755	44.2117	
MNI.img	STG_R	11522	42.0000	372.0000	210.6766	46.0632	
MNI.img	STG_L_pole	3772	82.0000	291.0000	166.9549	35.8604	
MNI.img	STG_R_pole	3486	55.0000	298.0000	171.3201	35.1455	
MNI.img	MTG_L	11648	43.0000	344.0000	184.2520	48.5567	
MNI.img	MTG_R	11902	51.0000	375.0000	190.8530	47.8189	
MNI.img	MTG_L_pole	594	82.0000	293.0000	173.5623	41.1489	
MNI.img	MTG_R_pole	601	100.0000	320.0000	177.6839	44.0004	
MNI.img	ITG_L	9214	37.0000	324.0000	173.9623	48.6528	
MNI.img	ITG_R	10949	34.0000	352.0000	194.6646	50.1383	
MNI.img	PHG_L	1253	85.0000	334.0000	207.7023	40.7868	
MNI.img	PHG_R	1441	66.0000	381.0000	219.0819	48.9455	
MNI.img	ENT_L	525	134.0000	327.0000	212.2705	36.4157	
MNI.img	ENT_R	634	121.0000	337.0000	204.6183	43.3502	
MNI.img	FuG_L	16848	26.0000	360.0000	182.1682	49.4721	
MNI.img	FuG_R	17221	0.0000e+00	388.0000	198.1034	48.6146	
MNI.img	SOG_L	2577	82.0000	376.0000	211.9647	51.0505	
MNI.img	SOG_R	2466	55.0000	335.0000	211.4968	47.0876	
MNI.img	MOG_L	13149	41.0000	340.0000	187.2209	51.2955	
MNI.img	MOG_R	12932	46.0000	357.0000	201.5159	51.5477	
MNI.img	IOG_L	4039	53.0000	341.0000	184.7876	51.6622	
MNI.img	IOG_R	5314	45.0000	333.0000	198.3591	52.0770	
MNI.img	Cu_L	6036	56.0000	382.0000	200.8917	50.2179	
MNI.img	Cu_R	5668	53.0000	355.0000	206.0153	50.6108	
MNI.img	LG_L	10324	29.0000	357.0000	198.2479	52.1863	
MNI.img	LG_R	10874	34.0000	377.0000	207.2436	51.1645	
MNI.img	rostral_ACC_L	3086	57.0000	362.0000	185.4213	49.0118	
MNI.img	rostral_ACC_R	3652	62.0000	341.0000	178.7155	46.8757	
MNI.img	subcallosal_ACC_L	458	109.0000	333.0000	201.6376	51.9148	
MNI.img	subcallosal_ACC_R	638	102.0000	331.0000	193.4953	47.0732	
MNI.img	subgenual_ACC_L	1843	130.0000	389.0000	227.2084	47.5596	
MNI.img	subgenual_ACC_R	1860	89.0000	407.0000	216.2102	53.7716	
MNI.img	dorsal_ACC_L	12820	36.0000	373.0000	196.1083	45.9808	
MNI.img	dorsal_ACC_R	12556	50.0000	356.0000	190.0216	44.5575	
MNI.img	PCC_L	8617	38.0000	376.0000	205.4266	52.9903	
MNI.img	PCC_R	10319	35.0000	377.0000	203.3661	48.9704	
MNI.img	Insula_L	9669	64.0000	351.0000	193.5297	42.7371	
MNI.img	Insula_R	9378	51.0000	359.0000	200.6651	45.8044	
MNI.img	Amyg_L	1939	116.0000	334.0000	198.3419	28.3348	
MNI.img	Amyg_R	2044	136.0000	374.0000	204.6531	33.0588	
MNI.img	Hippo_L	4782	67.0000	376.0000	196.3467	43.3836	
MNI.img	Hippo_R	5111	72.0000	387.0000	211.9978	47.9491	
MNI.img	Caud_L	4239	146.0000	382.0000	255.6228	36.1376	
MNI.img	Caud_R	4399	155.0000	393.0000	251.2778	34.6785	
MNI.img	Put_L	6147	129.0000	388.0000	275.8764	30.7264	
MNI.img	Put_R	6500	103.0000	405.0000	285.1857	34.5991	
MNI.img	GP_L	1640	253.0000	406.0000	351.9628	21.4324	
MNI.img	GP_R	1593	244.0000	425.0000	358.0013	23.3941	
MNI.img	Thalamus_L	7279	190.0000	394.0000	309.1768	29.4341	
MNI.img	Thalamus_R	7320	156.0000	405.0000	306.5657	33.2105	
MNI.img	HypoThalamus_L	647	122.0000	386.0000	270.9428	40.6425	
MNI.img	HypoThalamus_R	744	177.0000	375.0000	275.7272	42.1296	
MNI.img	BasalForebrain_L	320	202.0000	405.0000	329.7688	37.6393	
MNI.img	BasalForebrain_R	279	188.0000	405.0000	327.7133	40.3569	
MNI.img	NucAccumbens_L	676	202.0000	347.0000	255.7396	28.1047	
MNI.img	NucAccumbens_R	848	186.0000	365.0000	251.9281	31.8064	
MNI.img	RedNc_L	383	329.0000	401.0000	367.8094	11.5602	
MNI.img	RedNc_R	404	321.0000	405.0000	369.5668	14.3044	
MNI.img	Snigra_L	389	338.0000	420.0000	383.7121	14.2884	
MNI.img	Snigra_R	359	345.0000	419.0000	386.4540	13.5670	
MNI.img	CerebellumGM_R	56957	40.0000	375.0000	220.1641	44.1043	
MNI.img	CerebellumGM_L	55658	36.0000	368.0000	206.8123	42.9795	
MNI.img	CP_L	2821	234.0000	467.0000	361.4910	31.6696	
MNI.img	CP_R	3178	200.0000	465.0000	366.3685	32.2899	
MNI.img	Midbrain_L	2969	219.0000	444.0000	325.6696	32.3900	
MNI.img	Midbrain_R	3061	172.0000	415.0000	322.3316	36.2197	
MNI.img	CST_L	1458	268.0000	378.0000	327.4342	15.3383	
MNI.img	CST_R	1405	284.0000	383.0000	327.0456	14.7963	
MNI.img	SCP_L	1036	174.0000	383.0000	297.0483	31.9825	
MNI.img	SCP_R	1140	182.0000	376.0000	311.5632	31.7375	
MNI.img	MCP_L	3595	185.0000	388.0000	318.2540	23.3274	
MNI.img	MCP_R	3866	143.0000	390.0000	321.9889	26.2327	
MNI.img	PCT_L	1028	275.0000	377.0000	329.3375	15.2424	
MNI.img	PCT_R	894	286.0000	382.0000	331.2025	16.1586	
MNI.img	ICP_L	880	242.0000	382.0000	308.0784	23.9695	
MNI.img	ICP_R	782	252.0000	389.0000	315.2340	24.0767	
MNI.img	ML_L	918	279.0000	361.0000	312.5076	13.9646	
MNI.img	ML_R	1039	273.0000	359.0000	318.3715	14.6787	
MNI.img	Pons_L	393	240.0000	379.0000	311.4860	21.7708	
MNI.img	Pons_R	829	173.0000	391.0000	291.0121	24.4758	
MNI.img	Medulla_L	1977	0.0000e+00	372.0000	274.9090	57.1667	
MNI.img	Medulla_R	2204	0.0000e+00	379.0000	283.2123	51.5605	
MNI.img	ACR_L	12841	300.0000	434.0000	377.6244	15.9624	
MNI.img	ACR_R	15535	311.0000	446.0000	382.9990	15.6839	
MNI.img	SCR_L	19231	314.0000	423.0000	370.5792	13.3854	
MNI.img	SCR_R	17216	215.0000	435.0000	379.0721	13.3468	
MNI.img	PCR_L	7215	327.0000	418.0000	371.1867	11.6596	
MNI.img	PCR_R	6180	330.0000	429.0000	388.9948	13.0166	
MNI.img	GCC_L	3413	268.0000	463.0000	398.0653	22.9445	
MNI.img	GCC_R	3789	238.0000	474.0000	401.8406	25.6140	
MNI.img	BCC_L	4109	249.0000	450.0000	380.2706	27.7953	
MNI.img	BCC_R	4494	189.0000	464.0000	381.4798	33.8117	
MNI.img	SCC_L	7167	223.0000	467.0000	386.8217	24.1837	
MNI.img	SCC_R	7321	238.0000	486.0000	397.1145	23.8910	
MNI.img	PVWl_L	347	125.0000	387.0000	274.4179	63.5157	
MNI.img	PVWl_R	289	129.0000	402.0000	261.7266	68.0980	
MNI.img	ALIC_L	2332	276.0000	453.0000	376.6660	25.8578	
MNI.img	ALIC_R	2427	289.0000	464.0000	381.9295	27.5407	
MNI.img	PLIC_L	3817	303.0000	444.0000	367.3875	20.6495	
MNI.img	PLIC_R	3877	298.0000	438.0000	374.5293	17.5866	
MNI.img	RLIC_L	3251	291.0000	447.0000	380.4614	19.7030	
MNI.img	RLIC_R	3485	327.0000	476.0000	401.1684	22.3577	
MNI.img	EC_L	3726	219.0000	397.0000	319.8167	30.0955	
MNI.img	EC_R	3871	218.0000	432.0000	339.8104	34.5463	
MNI.img	CGC_L	4357	221.0000	432.0000	362.5088	32.5160	
MNI.img	CGC_R	4359	215.0000	434.0000	363.9179	33.2995	
MNI.img	CGH_L	1471	227.0000	418.0000	347.4018	32.0535	
MNI.img	CGH_R	1599	222.0000	435.0000	358.6817	38.2748	
MNI.img	Fx/ST_L	1454	182.0000	448.0000	348.6836	39.3597	
MNI.img	Fx/ST_R	1627	68.0000	460.0000	353.3516	51.0774	
MNI.img	Fx_L	967	43.0000	467.0000	281.3847	68.4356	
MNI.img	Fx_R	997	101.0000	412.0000	274.4614	58.3541	
MNI.img	IFO_L	1827	218.0000	410.0000	317.8993	31.6743	
MNI.img	IFO_R	1994	224.0000	445.0000	316.7402	34.7511	
